src,dst,weight,cross_album
0,22,0.5793,True
0,26,0.5624,True
0,40,0.5514,True
0,29,0.5502,True
0,46,0.543,True
0,31,0.5299,True
0,37,0.5274,True
1,8,0.5765,False
1,40,0.5196,True
1,33,0.5178,True
1,23,0.5168,True
1,42,0.5104,True
2,22,0.676,True
2,11,0.6143,False
2,23,0.6035,True
2,3,0.6013,False
2,7,0.59,False
2,4,0.5282,False
2,9,0.583,False
2,13,0.5052,False
2,25,0.5667,True
2,31,0.5494,True
3,22,0.6203,True
3,40,0.5578,True
3,16,0.5567,True
3,15,0.5478,True
3,32,0.5402,True
4,7,0.5668,False
4,32,0.5364,True
4,9,0.5109,False
4,20,0.5064,True
4,13,0.4962,False
5,48,0.5088,True
5,26,0.4994,True
5,35,0.4898,True
5,47,0.4853,True
5,21,0.4821,True
5,50,0.395,True
5,56,0.4593,True
6,26,0.5406,True
6,10,0.5084,False
6,18,0.5064,True
6,42,0.4983,True
6,46,0.4744,True
7,9,0.642,False
7,23,0.6237,True
7,8,0.6015,False
7,13,0.5406,False
7,25,0.5532,True
7,44,0.5309,True
8,42,0.5986,True
8,33,0.5826,True
8,53,0.5802,True
8,13,0.5718,False
8,30,0.5584,True
8,37,0.5312,True
8,44,0.5266,True
8,46,0.5066,True
8,52,0.4725,True
8,55,0.4666,True
8,57,0.5222,True
9,23,0.5798,True
9,26,0.5633,True
9,22,0.56,True
10,26,0.6121,True
10,18,0.6015,True
10,42,0.5788,True
10,35,0.5617,True
10,40,0.5597,True
10,12,0.5432,False
10,15,0.5285,True
10,36,0.5526,True
10,56,0.514,True
11,54,0.5306,True
11,31,0.5122,True
11,23,0.512,True
11,25,0.5108,True
12,26,0.609,True
12,29,0.5675,True
12,18,0.5492,True
12,36,0.5369,True
12,17,0.4704,True
12,24,0.4457,True
13,20,0.5413,True
13,43,0.4576,True
14,49,0.5558,True
14,40,0.5321,True
14,41,0.5107,True
14,38,0.4891,True
14,37,0.4828,True
15,33,0.5518,True
15,40,0.54,True
15,29,0.5347,True
16,22,0.5913,False
16,49,0.5842,True
16,40,0.5679,True
16,38,0.5669,True
16,54,0.5632,True
16,19,0.5073,False
16,27,0.5356,False
16,30,0.5556,True
16,32,0.5458,True
16,47,0.5531,True
16,51,0.4124,True
17,36,0.4898,True
17,25,0.4766,False
17,26,0.4765,False
17,23,0.4737,False
18,26,0.6541,False
18,42,0.6266,True
18,23,0.5926,False
18,48,0.5043,True
18,56,0.4673,True
19,45,0.6782,True
19,30,0.5475,True
19,49,0.5243,True
19,40,0.5203,True
20,40,0.5521,True
20,49,0.5497,True
20,23,0.5434,False
20,32,0.5366,True
20,27,0.5106,False
21,47,0.6161,True
21,26,0.5864,False
21,40,0.5563,True
21,38,0.5561,True
21,30,0.5261,True
21,50,0.4976,True
22,26,0.5889,False
22,25,0.5357,False
22,31,0.5538,True
22,34,0.3802,True
22,35,0.5525,True
22,47,0.5384,True
22,55,0.5176,True
23,33,0.6013,True
23,53,0.5354,True
24,29,0.4816,True
24,49,0.433,True
24,41,0.4261,True
24,40,0.4222,True
25,26,0.5303,False
25,57,0.4633,True
26,29,0.598,True
26,42,0.5976,True
26,30,0.5684,True
26,35,0.5801,True
26,36,0.5373,True
26,37,0.527,True
26,40,0.5884,True
26,44,0.5682,True
26,45,0.5133,True
26,46,0.5414,True
26,48,0.496,True
26,56,0.473,True
27,35,0.5799,True
27,30,0.5375,True
27,32,0.4811,True
28,39,0.725,False
28,40,0.5846,False
28,29,0.557,False
28,38,0.4928,False
28,37,0.4928,False
28,34,0.4466,False
29,40,0.6039,False
29,37,0.5697,False
29,36,0.5662,False
29,39,0.518,False
29,41,0.5347,True
29,44,0.5572,True
29,45,0.507,True
29,47,0.5416,True
30,40,0.5884,False
30,49,0.574,True
30,34,0.4098,False
30,41,0.5098,True
30,45,0.5211,True
30,50,0.4006,True
30,52,0.4553,True
30,54,0.5017,True
31,47,0.5464,True
31,40,0.5308,False
32,40,0.5708,False
32,49,0.5512,True
32,35,0.5369,False
33,53,0.6007,True
33,40,0.5855,False
33,49,0.5749,True
33,36,0.552,False
33,38,0.5004,False
33,39,0.471,False
33,43,0.4768,True
33,54,0.4967,True
34,40,0.4283,False
34,39,0.3795,False
35,40,0.5588,False
35,48,0.4926,True
35,56,0.4647,True
36,45,0.5065,True
36,51,0.4202,True
36,55,0.4684,True
37,40,0.5705,False
37,52,0.4536,True
37,57,0.4488,True
38,49,0.6005,True
38,40,0.5978,False
39,40,0.5121,False
39,49,0.4917,True
40,41,0.6145,True
40,49,0.6082,True
40,43,0.4985,True
40,52,0.4554,True
40,53,0.5571,True
40,55,0.4914,True
41,49,0.5283,False
41,43,0.4607,False
42,44,0.5582,False
42,46,0.5144,False
42,48,0.497,False
42,57,0.4817,False
43,53,0.4895,False
44,46,0.5075,False
44,54,0.4899,False
47,50,0.53,False
48,50,0.4318,False
49,53,0.5856,False
49,51,0.4693,False
49,55,0.5072,False
51,52,0.4519,False
51,53,0.4246,False
53,57,0.4728,False
